country,year,iso_code,population,gdp,cement_co2,cement_co2_per_capita,co2,co2_growth_abs,co2_growth_prct,co2_including_luc,co2_including_luc_growth_abs,co2_including_luc_growth_prct,co2_including_luc_per_capita,co2_including_luc_per_gdp,co2_including_luc_per_unit_energy,co2_per_capita,co2_per_gdp,co2_per_unit_energy,coal_co2,coal_co2_per_capita,consumption_co2,consumption_co2_per_capita,consumption_co2_per_gdp,cumulative_cement_co2,cumulative_co2,cumulative_co2_including_luc,cumulative_coal_co2,cumulative_flaring_co2,cumulative_gas_co2,cumulative_luc_co2,cumulative_oil_co2,cumulative_other_co2,energy_per_capita,energy_per_gdp,flaring_co2,flaring_co2_per_capita,gas_co2,gas_co2_per_capita,ghg_excluding_lucf_per_capita,ghg_per_capita,land_use_change_co2,land_use_change_co2_per_capita,methane,methane_per_capita,nitrous_oxide,nitrous_oxide_per_capita,oil_co2,oil_co2_per_capita,other_co2_per_capita,other_industry_co2,primary_energy_consumption,share_global_cement_co2,share_global_co2,share_global_co2_including_luc,share_global_coal_co2,share_global_cumulative_cement_co2,share_global_cumulative_co2,share_global_cumulative_co2_including_luc,share_global_cumulative_coal_co2,share_global_cumulative_flaring_co2,share_global_cumulative_gas_co2,share_global_cumulative_luc_co2,share_global_cumulative_oil_co2,share_global_cumulative_other_co2,share_global_flaring_co2,share_global_gas_co2,share_global_luc_co2,share_global_oil_co2,share_global_other_co2,share_of_temperature_change_from_ghg,temperature_change_from_ch4,temperature_change_from_co2,temperature_change_from_ghg,temperature_change_from_n2o,total_ghg,total_ghg_excluding_lucf,trade_co2,trade_co2_share,region,econ_class,gdp_2015_usd,gdp_2017_ppp,gdp_constant_lcu,gdp_current_usd
Argentina,2020,ARG,45036032,,3.508,0.078,166.88,-11.632,-6.516,205.745,-18.635,-8.305,4.568,,0.237,3.705,,0.192,3.957,0.088,157.683,3.501,,196.893,8431.902,21265.732,538.145,164.458,2875.002,13434.653,4657.404,,19314.066,,1.987,0.044,89.083,1.978,8.025,8.765,38.866,0.863,131.69,2.924,51.77,1.15,68.345,1.518,,,869.829,0.215,0.477,0.523,0.028,0.454,0.496,0.855,0.068,0.885,1.168,1.693,0.786,,0.498,1.179,0.905,0.627,,1.171,0.006,0.011,0.019,0.001,394.76,361.43,-9.196,-5.511,Latin America & Caribbean,Upper middle income,5.14874E+11,8.93675E+11,6.24591E+11,3.85741E+11
Argentina,2021,ARG,45276788,,4.671,0.103,189.744,22.865,13.701,220.73,14.984,7.283,4.875,,0.229,4.191,,0.196,4.946,0.109,177.082,3.911,,201.564,8621.646,21486.461,543.092,166.782,2968.032,13465.64,4742.177,,21328.186,,2.325,0.051,93.03,2.055,,,30.985,0.684,,,,,84.773,1.872,,,965.672,0.276,0.515,0.537,0.033,0.448,0.497,0.85,0.068,0.879,1.168,1.688,0.785,,0.576,1.174,0.717,0.736,,1.16,0.006,0.011,0.019,0.001,,,-12.662,-6.673,Latin America & Caribbean,Upper middle income,5.70059E+11,9.8946E+11,6.91535E+11,4.87903E+11
Argentina,2022,ARG,45510324,,5.063,0.111,192.864,3.12,1.644,218.89,-1.839,-0.833,4.81,,0.219,4.238,,0.193,4.946,0.109,,,,206.627,8814.511,21705.352,548.038,168.977,3060.497,13491.665,4830.372,,21994.422,,2.195,0.048,92.466,2.032,,,26.026,0.572,,,,,88.195,1.938,,,1000.973,0.315,0.519,0.528,0.033,0.443,0.497,0.844,0.067,0.872,1.169,1.682,0.784,,0.552,1.193,0.604,0.743,,,,,,,,,,,Latin America & Caribbean,Upper middle income,5.98313E+11,1.0385E+12,7.2581E+11,6.31133E+11
Armenia,2000,ARM,3168525,15244832768,0.139,0.044,3.491,0.451,14.841,4.989,0.428,9.388,1.575,0.327,0.17,1.102,0.229,0.119,0,0,4.26,1.345,0.279,9.108,277.452,462.248,44.446,2.156,83.305,188.691,138.437,,9270.454,1.927,0,0,2.565,0.809,1.89,1.931,1.498,0.473,1.8,0.568,0.53,0.167,0.788,0.249,,,29.374,0.019,0.014,0.016,0,0.049,0.027,0.027,0.008,0.019,0.068,0.027,0.038,,0,0.054,0.028,0.008,,0.025,0,0,0,0,6.12,5.99,0.769,22.025,Europe & Central Asia,Upper middle income,3959424773,12426495761,1.76787E+12,3959424773
Armenia,2001,ARM,3133138,16184125440,0.144,0.046,3.533,0.041,1.183,6.293,1.304,26.134,2.009,0.389,0.218,1.128,0.218,0.122,0,0,4.464,1.425,0.276,9.252,280.985,468.541,44.446,2.156,85.917,191.451,139.214,,9219.866,1.785,0,0,2.612,0.834,1.947,1.988,2.761,0.881,1.85,0.59,0.54,0.172,0.777,0.248,,,28.887,0.019,0.014,0.02,0,0.048,0.026,0.027,0.008,0.019,0.068,0.027,0.037,,0,0.055,0.055,0.008,,0.025,0,0,0,0,6.23,6.1,0.931,26.367,Europe & Central Asia,Upper middle income,4339529551,13619439354,1.93758E+12,4339529551
Armenia,2002,ARM,3105040,18018121728,0.211,0.068,3.077,-0.456,-12.905,6.321,0.028,0.448,2.036,0.351,0.228,0.991,0.171,0.111,0.048,0.015,4.435,1.428,0.246,9.463,284.061,474.863,44.493,2.156,87.919,194.696,140.03,,8911.608,1.536,0,0,2.002,0.645,1.858,1.9,3.245,1.045,1.9,0.612,0.63,0.203,0.816,0.263,,,27.671,0.027,0.012,0.02,0,0.047,0.026,0.026,0.008,0.018,0.067,0.028,0.036,,0,0.041,0.06,0.008,,0.025,0,0,0,0,5.9,5.77,1.358,44.135,Europe & Central Asia,Upper middle income,4912347451,15417205348,2.19334E+12,2376335048
Armenia,2003,ARM,3084107,19928737792,0.22,0.071,3.456,0.379,12.31,6.613,0.292,4.613,2.144,0.332,0.217,1.12,0.173,0.114,0.073,0.024,3.965,1.286,0.199,9.684,287.517,481.476,44.566,2.156,90.146,197.854,140.964,,9866.072,1.527,0,0,2.228,0.722,2.01,2.049,3.157,1.024,1.95,0.632,0.61,0.198,0.934,0.303,,,30.428,0.026,0.012,0.02,0.001,0.047,0.026,0.026,0.008,0.018,0.066,0.028,0.036,,0,0.044,0.054,0.009,,0.024,0,0,0,0,6.32,6.2,0.509,14.736,Europe & Central Asia,Upper middle income,5600076095,17575614097,2.50041E+12,2807061009
Armenia,2004,ARM,3065748,21350940672,0.298,0.097,3.691,0.236,6.819,8.423,1.81,27.363,2.747,0.394,0.267,1.204,0.173,0.117,0,0,4.236,1.382,0.198,9.982,291.208,489.898,44.566,2.156,92.62,202.585,141.884,,10294.192,1.478,0,0,2.473,0.807,2.15,2.192,4.731,1.543,2.01,0.656,0.66,0.215,0.92,0.3,,,31.559,0.033,0.013,0.025,0,0.046,0.025,0.026,0.008,0.017,0.065,0.028,0.035,,0,0.047,0.088,0.008,,0.024,0,0,0,0,6.72,6.59,0.545,14.755,Europe & Central Asia,Upper middle income,6188084085,19421053577,2.76296E+12,3576615240
Armenia,2005,ARM,3047254,23626534912,0.331,0.109,4.376,0.685,18.557,12.242,3.82,45.352,4.018,0.518,0.335,1.436,0.185,0.12,0,0,5.773,1.894,0.244,10.313,295.584,502.141,44.566,2.156,95.683,210.451,142.866,,11997.367,1.547,0,0,3.063,1.005,2.402,2.442,7.866,2.581,2.05,0.673,0.64,0.21,0.982,0.322,,,36.559,0.034,0.015,0.036,0,0.045,0.025,0.026,0.008,0.017,0.065,0.029,0.034,,0,0.057,0.161,0.009,,0.024,0,0,0,0,7.44,7.32,1.396,31.909,Europe & Central Asia,Upper middle income,7048227772,22120580024,3.14701E+12,4900469511
Armenia,2006,ARM,3026490,25937829888,0.338,0.112,4.402,0.025,0.581,8.472,-3.77,-30.797,2.799,0.327,0.232,1.454,0.17,0.121,0.004,0.001,5.127,1.694,0.198,10.651,299.986,510.613,44.57,2.156,98.823,214.522,143.786,,12061.231,1.407,0,0,3.14,1.038,2.551,2.59,4.071,1.345,2.1,0.694,0.95,0.314,0.92,0.304,,,36.503,0.032,0.014,0.024,0,0.045,0.025,0.026,0.008,0.016,0.065,0.03,0.033,,0,0.057,0.078,0.008,,0.024,0,0,0,0,7.84,7.72,0.726,16.483,Europe & Central Asia,Upper middle income,7978593838,25040496587,3.56241E+12,6384452067
Armenia,2007,ARM,3004398,28610387968,0.407,0.135,5.1,0.699,15.872,8.177,-0.295,-3.483,2.722,0.286,0.2,1.698,0.178,0.125,0.007,0.002,10.109,3.365,0.353,11.058,305.086,518.79,44.577,2.156,102.585,217.599,144.71,,13633.888,1.432,0,0,3.762,1.252,2.786,2.826,3.077,1.024,2.17,0.722,0.79,0.263,0.924,0.308,,,40.962,0.036,0.016,0.023,0,0.045,0.024,0.026,0.007,0.016,0.065,0.03,0.033,,0,0.066,0.068,0.008,,0.024,0,0,0,0,8.49,8.37,5.009,98.209,Europe & Central Asia,Upper middle income,9071661194,28471044620,4.05046E+12,9206301270
Armenia,2008,ARM,2983425,29672505344,0.412,0.138,5.575,0.475,9.305,8.156,-0.021,-0.253,2.734,0.275,0.206,1.869,0.188,0.141,0.007,0.002,6.528,2.188,0.22,11.47,310.661,526.946,44.585,2.156,106.707,220.18,145.743,,13250.285,1.332,0,0,4.122,1.382,2.98,3.02,2.582,0.865,2.21,0.741,0.77,0.258,1.033,0.346,,,39.531,0.036,0.017,0.022,0,0.044,0.024,0.026,0.007,0.015,0.065,0.03,0.032,,0,0.07,0.054,0.009,,0.024,0,0,0,0,9.01,8.89,0.954,17.104,Europe & Central Asia,Upper middle income,9697605817,30435546699,4.32994E+12,11662040714
Armenia,2009,ARM,2964300,24704751616,0.241,0.081,4.363,-1.211,-21.731,6.627,-1.529,-18.747,2.236,0.268,0.188,1.472,0.177,0.124,0,0,5.886,1.986,0.238,11.712,315.024,533.574,44.585,2.156,109.876,222.444,146.696,,11915.396,1.43,0,0,3.169,1.069,2.611,2.655,2.264,0.764,2.17,0.732,0.82,0.277,0.953,0.321,,,35.321,0.021,0.014,0.018,0,0.043,0.024,0.026,0.007,0.015,0.065,0.03,0.032,,0,0.055,0.043,0.009,,0.023,0,0,0,0,7.87,7.74,1.523,34.897,Europe & Central Asia,Upper middle income,8330243396,26144134614,3.71942E+12,8647937081
Armenia,2010,ARM,2946296,24485627904,0.288,0.098,4.253,-0.111,-2.534,6.135,-0.492,-7.429,2.082,0.251,0.156,1.443,0.174,0.108,0.004,0.001,5.295,1.797,0.216,12,319.277,539.709,44.588,2.156,112.829,224.326,147.703,,13351.512,1.607,0,0,2.953,1.002,2.566,2.61,1.882,0.639,2.21,0.75,0.77,0.261,1.008,0.342,,,39.338,0.023,0.013,0.016,0,0.042,0.024,0.026,0.007,0.015,0.064,0.03,0.031,,0,0.048,0.036,0.009,,0.023,0,0,0,0,7.69,7.56,1.042,24.511,Europe & Central Asia,Upper middle income,8513508751,26719305576,3.80125E+12,9260285756
Armenia,2011,ARM,2928984,24860479488,0.264,0.09,4.969,0.716,16.839,6.585,0.45,7.343,2.248,0.265,0.159,1.696,0.2,0.12,0.007,0.003,5.279,1.802,0.212,12.264,324.246,546.294,44.596,2.156,116.585,225.943,148.645,,14139.787,1.666,0,0,3.756,1.282,2.8,2.776,1.617,0.552,2.21,0.755,0.8,0.273,0.942,0.321,,,41.415,0.02,0.014,0.017,0,0.041,0.024,0.026,0.007,0.014,0.064,0.03,0.031,,0,0.059,0.031,0.008,,0.023,0,0,0,0,8.13,8.2,0.31,6.235,Europe & Central Asia,Upper middle income,8913643662,27975112937,3.97991E+12,10142111825
Armenia,2012,ARM,2914428,26635751424,0.278,0.095,5.748,0.779,15.685,7.243,0.658,9.99,2.485,0.272,0.165,1.972,0.216,0.131,0.007,0.003,6.518,2.236,0.245,12.542,329.994,553.538,44.603,2.156,121.15,227.438,149.542,,15057.879,1.648,0,0,4.565,1.566,3.157,3.129,1.495,0.513,2.27,0.779,0.96,0.329,0.898,0.308,,,43.885,0.02,0.016,0.018,0,0.04,0.023,0.026,0.007,0.014,0.064,0.03,0.03,,0,0.07,0.028,0.008,,0.023,0,0,0,0,9.12,9.2,0.77,13.393,Europe & Central Asia,Upper middle income,9555426006,29989321069,4.26646E+12,10619320683
Armenia,2013,ARM,2901386,27513477120,0.259,0.089,5.535,-0.213,-3.71,6.758,-0.485,-6.702,2.329,0.246,0.157,1.908,0.201,0.129,0.004,0.001,6.038,2.081,0.219,12.801,335.529,560.295,44.607,2.156,125.569,228.661,150.396,,14838.981,1.565,0,0,4.419,1.523,3.15,3.123,1.223,0.421,2.36,0.813,1.02,0.352,0.854,0.294,,,43.054,0.018,0.016,0.017,0,0.039,0.023,0.025,0.006,0.014,0.064,0.03,0.03,,0,0.068,0.025,0.007,,0.023,0,0,0,0,9.06,9.14,0.503,9.093,Europe & Central Asia,Upper middle income,9870755064,30978968665,4.40725E+12,11121464437
Armenia,2014,ARM,2889937,28507138048,0.244,0.084,5.604,0.069,1.249,6.63,-0.128,-1.899,2.294,0.233,0.151,1.939,0.197,0.128,0.004,0.001,5.819,2.014,0.204,13.045,341.133,566.925,44.61,2.156,130.062,229.686,151.26,,15185.13,1.539,0,0,4.493,1.555,3.159,3.132,1.025,0.355,2.41,0.834,0.98,0.339,0.864,0.299,,,43.884,0.016,0.016,0.016,0,0.038,0.023,0.025,0.006,0.013,0.064,0.03,0.029,,0,0.068,0.02,0.007,,0.023,0,0,0,0,9.05,9.13,0.215,3.835,Europe & Central Asia,Upper middle income,10226102247,32094211537,4.56591E+12,11609513247
Armenia,2015,ARM,2878598,29365307392,0.241,0.084,5.469,-0.135,-2.405,6.484,-0.146,-2.201,2.252,0.221,0.159,1.9,0.186,0.135,0.004,0.001,5.885,2.045,0.2,13.285,346.603,573.409,44.614,2.156,134.489,230.701,152.059,,14124.947,1.385,0,0,4.427,1.538,3.182,3.154,1.014,0.352,2.47,0.858,1.09,0.379,0.798,0.277,,,40.66,0.017,0.015,0.016,0,0.037,0.023,0.025,0.006,0.013,0.064,0.03,0.029,,0,0.065,0.018,0.007,,0.023,0,0,0,0,9.08,9.16,0.416,7.606,Europe & Central Asia,Upper middle income,10553337518,33121226305,4.71202E+12,10553337518
Armenia,2016,ARM,2865841,29426933760,0.154,0.054,5.203,-0.266,-4.869,6.174,-0.31,-4.778,2.154,0.21,0.151,1.816,0.177,0.127,0.004,0.001,5.521,1.926,0.188,13.439,351.806,579.582,44.618,2.156,138.727,231.672,152.865,,14289.046,1.392,0,0,4.239,1.479,3.287,3.297,0.971,0.339,2.49,0.869,1.62,0.565,0.807,0.281,,,40.95,0.01,0.015,0.015,0,0.036,0.023,0.025,0.006,0.013,0.064,0.03,0.028,,0,0.061,0.021,0.007,,0.023,0,0,0,0,9.45,9.42,0.318,6.111,Europe & Central Asia,Upper middle income,10574444193,33187468758,4.72145E+12,10546136236
Armenia,2017,ARM,2851929,31639250944,0.205,0.072,5.54,0.337,6.48,6.25,0.076,1.233,2.191,0.198,0.143,1.943,0.175,0.127,0.004,0.001,5.798,2.033,0.183,13.645,357.346,585.832,44.621,2.156,143.189,232.381,153.734,,15302.439,1.379,0,0,4.462,1.565,3.243,3.257,0.71,0.249,2.43,0.852,1.22,0.428,0.869,0.305,,,43.641,0.014,0.015,0.015,0,0.035,0.022,0.025,0.006,0.012,0.064,0.03,0.028,,0,0.063,0.016,0.007,,0.022,0,0,0,0,9.29,9.25,0.258,4.65,Europe & Central Asia,Upper middle income,11367527508,35676528915,5.07556E+12,11527458709
Armenia,2018,ARM,2836563,33296515072,0.315,0.111,5.826,0.286,5.156,6.433,0.183,2.929,2.268,0.193,0.15,2.054,0.175,0.136,0.004,0.001,7.114,2.508,0.214,13.96,363.172,592.265,44.625,2.156,147.868,232.989,154.562,,15133.982,1.289,0,0,4.679,1.65,3.328,3.342,0.607,0.214,2.35,0.828,1.17,0.412,0.828,0.292,,,42.928,0.02,0.016,0.016,0,0.035,0.022,0.025,0.006,0.012,0.064,0.03,0.027,,0,0.062,0.014,0.007,,0.022,0,0,0,0,9.48,9.44,1.289,22.118,Europe & Central Asia,Upper middle income,11958638938,37531708419,5.33949E+12,12457940695
Armenia,2019,ARM,2820604,,0.341,0.121,6.284,0.458,7.867,6.793,0.36,5.598,2.408,,0.149,2.228,,0.138,0.011,0.004,6.924,2.455,,14.301,369.456,599.059,44.636,2.156,152.756,233.498,155.606,,16179.096,,0,0,4.888,1.733,3.499,3.513,0.509,0.18,2.32,0.823,1.16,0.411,1.044,0.37,,,45.635,0.021,0.017,0.016,0,0.034,0.022,0.024,0.006,0.012,0.064,0.03,0.027,,0,0.064,0.011,0.008,,0.022,0,0,0,0,9.91,9.87,0.64,10.191,Europe & Central Asia,Upper middle income,12867495498,40384118258,5.74529E+12,13619290539
Armenia,2020,ARM,2805610,,0.413,0.147,6.799,0.515,8.194,7.245,0.451,6.646,2.582,,0.151,2.423,,0.142,0.033,0.012,7.439,2.651,,14.714,376.255,606.303,44.669,2.156,157.655,233.943,157.061,,17086.047,,0,0,4.899,1.746,3.714,3.728,0.446,0.159,2.32,0.827,1.18,0.421,1.455,0.518,,,47.937,0.025,0.019,0.018,0,0.034,0.022,0.024,0.006,0.012,0.064,0.029,0.027,,0,0.065,0.01,0.013,,0.022,0,0,0,0,10.46,10.42,0.64,9.408,Europe & Central Asia,Upper middle income,11941035822,37476461744,5.33163E+12,12641698583
Armenia,2021,ARM,2790971,,0.492,0.176,7.064,0.265,3.899,7.455,0.21,2.904,2.671,,0.151,2.531,,0.143,0.037,0.013,7.8,2.795,,15.206,383.319,613.758,44.706,2.156,162.554,234.334,158.697,,17684.547,,0,0,4.899,1.755,,,0.391,0.14,,,,,1.636,0.586,,,49.357,0.029,0.019,0.018,0,0.034,0.022,0.024,0.006,0.011,0.064,0.029,0.026,,0,0.062,0.009,0.014,,0.022,0,0,0,0,,,0.736,10.423,Europe & Central Asia,Upper middle income,12633615900,39650096525,5.64086E+12,13878908629
Armenia,2022,ARM,2780472,,0.492,0.177,6.408,-0.656,-9.292,6.779,-0.676,-9.073,2.438,,,2.305,,,0.037,0.013,,,,15.698,389.727,620.537,44.742,2.156,166.753,234.705,160.377,,,,0,0,4.199,1.51,,,0.371,0.133,,,,,1.68,0.604,,,,0.031,0.017,0.016,0,0.034,0.022,0.024,0.005,0.011,0.064,0.029,0.026,,0,0.054,0.009,0.014,,,,,,,,,,,Europe & Central Asia,Upper middle income,14225451503,44646008687,6.35161E+12,19513474648
Aruba,2000,ABW,89117,,0,0,2.378,1.568,193.665,,,,,,,26.683,,0.538,0,0,,,,0,39.127,,0,0,0,,39.127,,49568.207,,0,0,0,0,,,,,,,,,2.378,26.683,,,4.417,0,0.009,,0,0,0.004,,0,0,0,,0.011,,0,0,,0.023,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,2735726894,3475092884,4409259400,2735726894
Aruba,2001,ABW,90702,,0,0,2.407,0.029,1.233,,,,,,,26.54,,0.527,0,0,,,,0,41.535,,0,0,0,,41.535,,50392.613,,0,0,0,0,,,,,,,,,2.407,26.54,,,4.571,0,0.009,,0,0,0.004,,0,0,0,,0.011,,0,0,,0.023,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,2850135065,3620421360,4593654744,2850135065
Aruba,2002,ABW,91798,,0,0,2.437,0.029,1.218,,,,,,,26.543,,0.516,0,0,,,,0,43.971,,0,0,0,,43.971,,51469.32,,0,0,0,0,,,,,,,,,2.437,26.543,,,4.725,0,0.009,,0,0,0.004,,0,0,0,,0.011,,0,0,,0.024,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,2823202581,3586210019,4550246789,1961843575
Aruba,2003,ABW,92713,,0,0,2.561,0.125,5.113,,,,,,,27.624,,0.487,0,0,,,,0,46.532,,0,0,0,,46.532,,56750.387,,0,0,0,0,,,,,,,,,2.561,27.624,,,5.261,0,0.009,,0,0,0.004,,0,0,0,,0.012,,0,0,,0.024,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,2854554387,3626035061,4600777507,2044111732
Aruba,2004,ABW,93554,,0,0,2.616,0.055,2.146,,,,,,,27.963,,0.477,0,0,,,,0,49.148,,0,0,0,,49.148,,58649.285,,0,0,0,0,,,,,,,,,2.616,27.963,,,5.487,0,0.009,,0,0,0.004,,0,0,0,,0.012,,0,0,,0.024,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,3062757846,3890508230,4936345748,2254830726
Aruba,2005,ABW,94495,,0,0,2.719,0.103,3.922,,,,,,,28.771,,0.459,0,0,,,,0,51.867,,0,0,0,,51.867,,62704.926,,0,0,0,0,,,,,,,,,2.719,28.771,,,5.925,0,0.009,,0,0,0.004,,0,0,0,,0.012,,0,0,,0.024,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,3051023208,3875602152,4917432652,2360017318
Aruba,2006,ABW,95621,,0,0,2.715,-0.004,-0.135,,,,,,,28.394,,0.459,0,0,,,,0,54.582,,0,0,0,,54.582,,61848.48,,0,0,0,0,,,,,,,,,2.715,28.394,,,5.914,0,0.009,,0,0,0.004,,0,0,0,,0.013,,0,0,,0.024,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,3085420814,3919296161,4972872384,2469782682
Aruba,2007,ABW,96797,,0,0,2.821,0.106,3.914,,,,,,,29.146,,0.463,0,0,,,,0,57.403,,0,0,0,,57.403,,62959.137,,0,0,0,0,,,,,,,,,2.821,29.146,,,6.094,0,0.009,,0,0,0.005,,0,0,0,,0.013,,0,0,,0.025,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,3180746244,4040384536,5126511460,2677641341
Aruba,2008,ABW,98006,,0,0,2.656,-0.165,-5.844,,,,,,,27.104,,0.464,0,0,,,,0,60.06,,0,0,0,,60.06,,58413.715,,0,0,0,0,,,,,,,,,2.656,27.104,,,5.725,0,0.008,,0,0,0.005,,0,0,0,,0.013,,0,0,,0.024,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,3239136974,4114556125,5220621685,2843024581
Aruba,2009,ABW,99223,,0,0,2.627,-0.029,-1.103,,,,,,,26.477,,0.46,0,0,,,,0,62.687,,0,0,0,,62.687,,57522.297,,0,0,0,0,,,,,,,,,2.627,26.477,,,5.708,0,0.008,,0,0,0.005,,0,0,0,,0.014,,0,0,,0.024,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,2860878914,3634068875,4610970952,2553793296
Aruba,2010,ABW,100354,,0,0,2.506,-0.121,-4.603,,,,,,,24.973,,0.468,0,0,,,,0,65.193,,0,0,0,,65.193,,53389.605,,0,0,0,0,,,,,,,,,2.506,24.973,,,5.358,0,0.008,,0,0,0.005,,0,0,0,,0.014,,0,0,,0.022,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,2782678056,3534733212,4484932104,2453597207
Aruba,2011,ABW,101304,,0,0,2.499,-0.007,-0.292,,,,,,,24.667,,0.586,0,0,,,,0,67.692,,0,0,0,,67.692,,42076.207,,0,0,0,0,,,,,,,,,2.499,24.667,,,4.262,0,0.007,,0,0,0.005,,0,0,0,,0.014,,0,0,,0.022,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,2876433106,3653826791,4636040146,2637859218
Aruba,2012,ABW,102126,,0,0,1.348,-1.15,-46.041,,,,,,,13.203,,0.252,0,0,,,,0,69.04,,0,0,0,,69.04,,52292.039,,0,0,0,0,,,,,,,,,1.348,13.203,,,5.34,0,0.004,,0,0,0.005,,0,0,0,,0.014,,0,0,,0.012,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,2846495186,3615797756,4587788234,2615208380
Aruba,2013,ABW,102891,,0,0,0.861,-0.487,-36.141,,,,,,,8.368,,0.166,0,0,,,,0,69.901,,0,0,0,,69.901,,50264.645,,0,0,0,0,,,,,,,,,0.861,8.368,,,5.172,0,0.002,,0,0,0.005,,0,0,0,,0.014,,0,0,,0.007,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,3029567007,3848347132,4882851000,2727849721
Aruba,2014,ABW,103607,,0,0,0.872,0.011,1.277,,,,,,,8.417,,0.166,0,0,,,,0,70.773,,0,0,0,,70.773,,50628.816,,0,0,0,0,,,,,,,,,0.872,8.417,,,5.245,0,0.002,,0,0,0.005,,0,0,0,,0.014,,0,0,,0.008,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,2981500665,3787290232,4805380924,2790849721
Aruba,2015,ABW,104269,,0,0,0.898,0.026,2.941,,,,,,,8.609,,0.166,0,0,,,,0,71.671,,0,0,0,,71.671,,51778.613,,0,0,0,0,,,,,,,,,0.898,8.609,,,5.399,0,0.003,,0,0,0.005,,0,0,0,,0.013,,0,0,,0.008,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,2962907263,3763671719,4775413337,2962907263
Aruba,2016,ABW,104890,,0,0,0.883,-0.015,-1.633,,,,,,,8.419,,0.168,0,0,,,,0,72.554,,0,0,0,,72.554,,50017.652,,0,0,0,0,,,,,,,,,0.883,8.419,,,5.246,0,0.002,,0,0,0.005,,0,0,0,,0.013,,0,0,,0.007,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,3013858130,3828392726,4857532496,2983635196
Aruba,2017,ABW,105454,,0,0,0.89,0.007,0.83,,,,,,,8.443,,0.164,0,0,,,,0,73.444,,0,0,0,,73.444,,51509.809,,0,0,0,0,,,,,,,,,0.89,8.443,,,5.432,0,0.002,,0,0,0.005,,0,0,0,,0.013,,0,0,,0.007,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,3226290923,4098238261,5199917290,3092429050
Aruba,2018,ABW,105980,,0,0,0.872,-0.018,-2.058,,,,,,,8.228,,0.166,0,0,,,,0,74.316,,0,0,0,,74.316,,49515.113,,0,0,0,0,,,,,,,,,0.872,8.228,,,5.248,0,0.002,,0,0,0.005,,0,0,0,,0.013,,0,0,,0.007,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,3303132466,4195847236,5323765286,3276184358
Aruba,2019,ABW,106458,,0,0,0.89,0.018,2.101,,,,,,,8.363,,0.164,0,0,,,,0,75.207,,0,0,0,,75.207,,51107.844,,0,0,0,0,,,,,,,,,0.89,8.363,,,5.441,0,0.002,,0,0,0.005,,0,0,0,,0.013,,0,0,,0.007,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,3227066715,4099223720,5201167658,3395798883
Aruba,2020,ABW,106597,,0,0,0.89,0,0,,,,,,,8.353,,0.192,0,0,,,,0,76.097,,0,0,0,,76.097,,43496.941,,0,0,0,0,,,,,,,,,0.89,8.353,,,4.637,0,0.003,,0,0,0.004,,0,0,0,,0.013,,0,0,,0.008,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,2453132847,3116124098,3953793445,2558906304
Aruba,2021,ABW,106543,,0,0,0.858,-0.032,-3.637,,,,,,,8.053,,0.175,0,0,,,,0,76.955,,0,0,0,,76.955,,46090.324,,0,0,0,0,,,,,,,,,0.858,8.053,,,4.911,0,0.002,,0,0,0.004,,0,0,0,,0.013,,0,0,,0.007,,0.002,0,0,0,0,,,,,Latin America & Caribbean,High income,3131162991,3977400761,5046596530,3103184102
Aruba,2022,ABW,106459,,0,0,0.866,0.008,0.922,,,,,,,8.133,,,0,0,,,,0,77.821,,0,0,0,,77.821,,,,0,0,0,0,,,,,,,,,0.866,8.133,,,,0,0.002,,0,0,0.004,,0,0,0,,0.013,,0,0,,0.007,,,,,,,,,,,Latin America & Caribbean,High income,3458629954,4393369954,5574385610,3544707788
